"DataSource","Name","BasinName","ClassName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Ducks Unlimited","Butte Semi-permanent Wetland","Butte","Semi-permanent Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Treated Wetland","Butte","Treated Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Rice","Colusa","Rice","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Seasonal Wetland","Colusa","Seasonal Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Semi-permanent Wetland","Colusa","Semi-permanent Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Treated Wetland","Colusa","Treated Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Rice","Delta","Rice","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Seasonal Wetland","Delta","Seasonal Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Semi-permanent Wetland","Delta","Semi-permanent Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Treated Wetland","Delta","Treated Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","San Joaquin Seasonal Wetland","San Joaquin","Seasonal Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",40572000,2618550,18.2389021054846,6.45408163265306,14356949.6938775,0.07897201
"Ducks Unlimited","San Joaquin Semi-permanent Wetland","San Joaquin","Semi-permanent Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",1408500,623700,13.8901215940357,44.2811501597444,4490241.46964856,0.07897201
"Ducks Unlimited","San Joaquin Treated Wetland","San Joaquin","Treated Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Suisun Seasonal Wetland","Suisun","Seasonal Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Suisun Semi-permanent Wetland","Suisun","Semi-permanent Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Rice","Sutter","Rice","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
