"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.08011 0.9427 0.9427
0.08021 0.9439 0.9439
0.08031 0.9445 0.9445
0.08041 0.9452 0.9452
0.08050 0.9463 0.9463
0.08060 0.9469 0.9469
0.08070 0.9451 0.9451
0.08080 0.9488 0.9488
0.08090 0.9505 0.9505
0.08100 0.9535 0.9535
0.08110 0.9542 0.9542
0.08120 0.9541 0.9541
0.08130 0.9565 0.9565
0.08140 0.9583 0.9583
0.08150 0.9596 0.9596
0.08160 0.9601 0.9601
0.08170 0.9613 0.9613
0.08180 0.9637 0.9637
0.08190 0.9674 0.9674
0.08200 0.9667 0.9667
0.08210 0.9691 0.9691
0.08219 0.9721 0.9721
0.08229 0.9740 0.9740
0.08239 0.9745 0.9745
0.08249 0.9763 0.9763
0.08259 0.9800 0.9800
0.08269 0.9799 0.9799
0.08279 0.9829 0.9829
0.08289 0.9889 0.9889
0.08299 0.9668 0.9668
0.08309 0.8912 0.8912
0.08319 0.9013 0.9013
0.08329 0.9049 0.9049
0.08339 0.9074 0.9074
0.08349 0.9109 0.9109
0.08359 0.9139 0.9139
0.08369 0.9199 0.9199
0.08378 0.9224 0.9224
0.08388 0.9277 0.9277
0.08398 0.9301 0.9301
0.08408 0.9314 0.9314
0.08418 0.9349 0.9349
0.08428 0.9373 0.9373
0.08438 0.9451 0.9451
0.08448 0.9512 0.9512
0.08458 0.9535 0.9535
0.08468 0.9565 0.9565
0.08478 0.9625 0.9625
0.08488 0.9650 0.9650
0.08498 0.9751 0.9751
0.08508 0.9799 0.9799
0.08518 0.9625 0.9625
0.08528 0.9734 0.9734
0.08537 0.9775 0.9775
0.08547 0.9265 0.9265
0.08557 0.9674 0.9674
0.08567 0.9775 0.9775
0.08577 0.9847 0.9847
0.08587 0.9883 0.9883
0.08597 0.9914 0.9914
0.08607 0.9835 0.9835
0.08617 0.9853 0.9853
0.08627 0.9883 0.9883
0.08637 0.9884 0.9884
0.08647 0.9889 0.9889
0.08657 0.9847 0.9847
0.08667 0.9829 0.9829
0.08677 0.9470 0.9470
0.08687 0.9583 0.9583
0.08697 0.9553 0.9553
0.08706 0.9572 0.9572
0.08716 0.9631 0.9631
0.08726 0.9619 0.9619
0.08736 0.9619 0.9619
0.08746 0.9704 0.9704
0.08756 0.9643 0.9643
0.08766 0.9721 0.9721
0.08776 0.9691 0.9691
0.08786 0.9692 0.9692
0.08796 0.9007 0.9007
0.08806 0.9679 0.9679
0.08816 0.9001 0.9001
0.08826 0.9764 0.9764
0.08836 0.8978 0.8978
0.08846 0.9055 0.9055
0.08856 0.8996 0.8996
0.08865 0.9817 0.9817
0.08875 0.9043 0.9043
0.08885 0.8996 0.8996
0.08895 0.9728 0.9728
0.08905 0.8936 0.8936
0.08915 0.9775 0.9775
0.08925 0.9649 0.9649
0.08935 0.9122 0.9122
0.08945 0.9805 0.9805
0.08955 0.9037 0.9037
0.08965 0.9889 0.9889
0.08975 0.7551 0.7551
0.08985 0.6771 0.6771
0.08995 0.6765 0.6765
0.09005 0.6783 0.6783
0.09015 0.7280 0.7280
0.09024 0.8396 0.8396
0.09034 0.7358 0.7358
0.09044 0.9002 0.9002
0.09054 0.8486 0.8486
0.09064 0.9085 0.9085
0.09074 0.8522 0.8522
0.09084 0.9092 0.9092
0.09094 0.8522 0.8522
0.09104 0.9109 0.9109
0.09114 0.8540 0.8540
0.09124 0.9140 0.9140
0.09134 0.9163 0.9163
